roe,sustainability_score,category,rating,risk_rating,equity_size_score,price_cash_flow_ratio,dividend_yield_factor,historical_earnings_growth,sales_growth,asset_cash,holdings_n_stock,ongoing_cost,fund_size
17.49,12.66,Sector Equity Consumer Goods & Services,2,3,249.32,13.02,1.2,-4.31,5.81,0,-269,0.3,2400000
19.64,16.65,Sector Equity Technology,2,3,273.78,15.77,1.22,7.92,8.94,0,-36,0.3,9980000
10.22,17.63,Sector Equity Communications,1,4,251.12,2.66,4.28,-1.48,-1.39,0,-350,0.3,3600000
10.32,23.52,Sector Equity Consumer Goods & Services,2,5,200.74,13.84,1.04,-3.65,11.47,0,53,0.3,13690000
13.49,24.2,Sector Equity Utilities,2,5,259.92,6.6,4.41,-14.28,-10.71,0,-170,0.3,8260000
12.19,24.06,UK Large-Cap Equity,3,2,266.57,7.49,4.08,-6.65,1.81,0.06,100,0.07,338250000
9.02,23.27,Japan Large-Cap Equity,3,2,311.07,8.17,2.8,-3.18,3.91,0,119,0.53104,810520000
27.59,22.63,US Large-Cap Blend Equity,4,3,316.89,13.91,1.9,10.4,7.16,0,289,0.30048,72480000
8.52,24.84,Japan Large-Cap Equity,3,2,259.8,8.51,2.72,-3.79,3.41,0.95,1292,0.15417,3534490000
20.8,22.77,Global Large-Cap Blend Equity,5,3,291.13,11.57,2.31,4.91,4.39,0.38,1602,0.2,27324520000
14.3,21.91,Europe Large-Cap Blend Equity,4,3,280.93,8.75,2.93,-1.26,1.14,0.4,435,0.12,3077870000
14.57,27.12,Global Emerging Markets Equity,3,2,343.7,8.15,3.03,2.81,7.4,0.21,898,0.555,757460000
17.38,22.26,Europe Large-Cap Blend Equity,3,2,335.17,10.21,3.46,-3.93,2.13,0,233,0.15,335260000
10.54,19.95,Eurozone Large-Cap Equity,3,4,312.44,9.11,2.75,-2.63,2.51,0,50,0.05,143640000
14.19,21.91,Europe Large-Cap Blend Equity,4,3,280.7,8.72,2.94,-1.24,1.15,0.01,438,0.22,418820000
6.17,23.02,Eurozone Large-Cap Equity,2,5,264.48,5,3.77,-3.2,0.1,-0.03,153,0.27,50490000
10.83,23.22,Pacific ex-Japan Equity,3,3,305.97,9.25,4.73,-6.93,1.2,0.58,132,0.31,127440000
11.47,24.19,Canada Equity,3,3,278.68,9.59,3.8,12.47,6.86,0.33,83,0.48,2853640000
9.22,20.34,France Equity,4,3,298.9,9.28,2.24,4.06,0.55,0,40,0.2005,125700000
9.07,23.14,Global Equity Income,3,4,225.88,5.55,6.71,-0.34,-0.67,0.62,100,0.46,1266170000
19.32,23.17,Europe Large-Cap Blend Equity,4,1,287.64,10.04,3.26,-1.46,2.14,0,248,0.3,180640000
18.62,19.99,Netherlands Equity,5,2,293.55,9.44,2.53,1.46,0.57,0,25,0.3,185660000
13.43,21.23,Netherlands Equity,1,4,124.09,4.4,2.4,-0.38,-5.05,0,25,0.35,24380000
10.54,19.95,Eurozone Large-Cap Equity,3,4,312.44,9.11,2.75,-2.63,2.51,0.65,50,0.1,3734730000
28.34,23.24,US Large-Cap Blend Equity,3,3,313.94,13.58,2.45,13.85,6.4,0.36,30,0.33,533730000
12.18,24.06,UK Large-Cap Equity,3,2,266.52,7.49,4.08,-6.68,1.81,1.05,99,0.07,703880000
9.39,22.55,Italy Equity,3,4,238.3,5.97,2.9,-1.7,0.21,0.37,40,0.33,118330000
11.45,24.19,Canada Equity,3,3,278.42,9.7,3.75,12.45,6.85,0.63,86,0.48,616980000
10.16,20.73,Eurozone Large-Cap Equity,4,3,276.3,7.92,2.59,-1.07,0.71,0.45,247,0.12,2186580000
8.8,23.96,Japan Large-Cap Equity,3,2,286.44,8.45,2.74,-4.05,3.55,0.85,319,0.48,390490000
10.8,23.22,Pacific ex-Japan Equity,3,2,305.54,9.24,4.72,-6.9,1.2,0.63,132,0.2,2132489999
12.43,24.22,UK Large-Cap Equity,2,2,270.73,7.37,4.2,-6.6,1.44,0.43,85,0.33,81790000
25.3,22.79,US Large-Cap Blend Equity,5,3,294.77,13.46,1.88,10.8,7.01,0.3,618,0.33,720500000
31.38,21.88,US Large-Cap Growth Equity,5,4,351.54,16.55,0.89,9.99,11.54,0.06,103,0.33,6251090000
8.96,22.92,Japan Large-Cap Equity,5,3,288.09,10.01,2.06,1.34,3.59,0.62,225,0.48,29734140000
25.96,20.1,Sector Equity Consumer Goods & Services,5,4,289.66,17.07,1.31,6.87,6.93,0,-110,0.14,170460000
30.05,24.85,Sector Equity Consumer Goods & Services,4,2,279.96,14.26,2.94,2.81,4.74,0,199,0.14,89470000
-10.27,34.02,Sector Equity Energy,3,4,220.65,5.2,8.49,7.68,3.95,0,73,0.14,31620000
26.26,26.01,Sector Equity Healthcare,4,3,274.37,12.96,1.89,19.53,10.71,0,188,0.14,384940000
27.1,27.28,Sector Equity Industrial Materials,4,2,224.87,12.47,2,9.8,6.24,0,201,0.14,562600000
10.09,24.37,Sector Equity Industrial Materials,5,2,219.87,12.94,1.93,-3.35,3.24,0,-32,0.14,2570000
43.45,18.3,Sector Equity Technology,5,3,354.37,16.42,1.24,13.37,7.73,0,126,0.14,562710000
9.93,31.16,Sector Equity Utilities,5,3,218.31,8.11,3.48,6.76,-1.03,0,97,0.14,68490000
12.06,26.52,South Africa & Namibia Equity,3,4,207.17,3.79,4.16,-9,3.21,0.18,39,0.65,103520000
12.75,23.92,Australia & New Zealand Equity,3,3,301.56,9.8,4.93,-8.17,-0.79,0.55,64,0.5,381200000
8.81,23.95,Japan Large-Cap Equity,3,2,286.47,8.44,2.75,-4.03,3.55,0.01,318,0.19,223870000
10.55,22.78,UK Mid-Cap Equity,3,2,129.32,7.02,2.73,-9.46,2.55,0.74,180,0.35,45360000
15.57,22.57,Switzerland Small/Mid-Cap Equity,3,4,197.44,13.06,3.3,13.71,3.59,-0.12,29,0.25467,836430000
7.05,33.11,Sector Equity Precious Metals,3,4,202,8.23,0.88,83.34,-3.03,0.04,21,0.65,457200000
26.87,22.54,US Large-Cap Blend Equity,5,3,301.04,13.13,1.95,11.26,6.92,0,428,0.15,7006220000
26.73,22.54,US Large-Cap Blend Equity,5,2,300.14,13.12,1.96,11.26,6.9,0.06,501,0.09,3498300000
26.87,22.54,US Large-Cap Blend Equity,5,2,301.04,13.13,1.95,11.26,6.92,0,327,0.15,8570309999
26.75,22.54,US Large-Cap Blend Equity,5,2,300.35,13.08,1.97,11.25,6.92,0.23,505,0.07,41119220000
11.45,24.19,Canada Equity,2,5,278.38,9.7,3.75,12.44,6.85,0,86,0.39742,264390000
5.39,24.52,Europe Large-Cap Value Equity,3,4,263.54,4.75,3.69,-5.1,1.09,0,147,0.25887,8590000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,903,0.54,555450000
26.87,22.54,US Large-Cap Blend Equity,5,3,301.04,13.13,1.95,11.26,6.92,0,448,0.05,10921850000
11.57,24.19,Canada Equity,4,3,278.86,9.85,3.69,12.3,6.17,0,314,0.4,33020000
12.31,24.07,Australia & New Zealand Equity,3,4,272.56,9.59,4.49,-8.36,0.35,0,-36,0.4,58310000
25.37,22.79,US Large-Cap Blend Equity,5,3,294.87,13.44,1.88,10.87,6.93,0.03,615,0.3,31090000
14.34,21.9,Europe Large-Cap Blend Equity,4,3,281.01,8.76,2.93,-1.25,1.14,0,437,0.1,162480000
18.48,29.41,Indonesia Equity,4,4,283.43,5.7,4.11,6.05,8.14,0,41,0.83709,111610000
13.11,25.28,Hong Kong Equity,2,2,390.51,8.96,2.95,7.59,9.29,0,235,0.55,99790000
8.83,30.77,Brazil Equity,2,4,324.44,4.3,3.82,10,3.4,0.38,69,0.6,45680000
16.1,26.58,China Equity,3,3,416.53,10.61,1.95,12.79,10.9,0,238,0.65638,855560000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,877,0.65259,55700000
8.28,23.22,Portugal Equity,4,1,142.07,3.28,3.39,-1.85,0.58,0.01,17,0.35,25480000
6.38,28.26,Korea Equity,5,3,340.63,5.23,2.15,-15,4.53,0.62,107,0.65,88900000
15.06,26.3,Asia ex-Japan Equity,3,3,365.73,9.06,2.49,2.43,7.61,0.09,659,0.65,1019450000
20.14,34.16,Russia Equity,2,4,264.53,5.13,13.68,18.19,12.78,0.61,17,0.65,181940000
10.81,23.24,Pacific ex-Japan Equity,3,3,305.27,9.23,4.72,-6.87,1.2,0,133,0.15,107530000
14.53,26.06,Asia ex-Japan Equity,3,3,369.34,9.17,2.63,2.77,7.11,0.05,618,0.6,16180000
-6.61,32.2,Sector Equity Energy,3,3,253.28,5.12,8.59,4.6,4.3,0,103,0.3,62610000
11.17,26.33,Sector Equity Industrial Materials,4,3,244.85,9.22,3,-2.78,3.69,0,302,0.3,23700000
10.53,29.59,Sector Equity Utilities,4,2,231.57,7.77,3.85,0.49,-3.44,0,103,0.3,32189999
23.64,24.32,Sector Equity Consumer Goods & Services,4,1,293.74,12.71,2.88,-0.66,2.89,0,133,0.3,51370000
17.42,21.7,Sector Equity Consumer Goods & Services,5,4,317.66,14.83,1.15,0.41,4.78,0,36,0.3,54770000
11.27,22.37,Sector Equity Financial Services,3,2,265.18,3.29,3.71,9.23,1.86,0,-78,0.3,15720000
36.82,18.37,Sector Equity Technology,5,3,336.74,16.62,1.16,10.49,6.1,0,107,0.3,686900000
14.76,22.06,Sector Equity Communications,5,3,336.38,7.55,1.59,5.15,5.07,0,215,0.3,36810000
23.99,26.1,Sector Equity Healthcare,4,2,282.39,13.41,1.99,12.76,8.5,0,70,0.3,572730000
11.17,26.33,Sector Equity Industrial Materials,3,3,244.85,9.22,3,-2.78,3.69,0,160,0.3,23700000
14.76,22.06,Sector Equity Communications,4,3,336.38,7.55,1.59,5.15,5.07,0,405,0.3,36810000
19.87,24.84,Sector Equity Industrial Materials,4,1,242.11,11.26,1.98,5.69,5.92,0,51,0.3,31900000
19.87,24.84,Sector Equity Industrial Materials,4,2,242.11,11.26,1.98,5.69,5.92,0,142,0.3,31900000
20.88,22.72,Global Large-Cap Blend Equity,4,3,292.87,11.59,2.32,4.94,4.58,0.04,1402,0.15,2005280000
17.64,30.02,Turkey Equity,2,3,129.74,3.7,1.39,-7.33,22.52,0,15,0.6,9530000
14.72,27.06,Global Emerging Markets Equity,4,3,344.32,8.25,3.02,2.77,7.14,0.54,1201,0.23,4062160000
11.33,27.4,Poland Equity,1,5,146.75,6.36,4.95,-2.75,9.78,1.29,16,0.74,54420000
16.97,27.34,China Equity,3,4,409.83,11.77,1.77,12.45,10.84,0,699,0.65585,2065460000
13.29,27.1,Thailand Equity,3,3,241.17,9.2,4.08,-2.88,1.86,0,43,0.51364,35870000
16.26,27.33,China Equity,3,3,402.67,10.75,1.95,12.4,10.82,0,713,0.6,695190000
12.07,26.53,South Africa & Namibia Equity,3,4,209.46,3.79,4.07,-9.16,3.14,0.02,39,0.6,3150000
11.46,24.13,Canada Equity,2,4,278.46,9.7,3.76,12.43,6.85,0.59,87,0.35,28440000
21.08,20.75,Global Large-Cap Blend Equity,4,2,310.77,11.13,2.64,4.15,4.51,0.46,522,0.6,354010000
19.42,19.07,Europe Large-Cap Blend Equity,5,2,278.53,11.78,2.55,0.6,2.7,0.61,110,0.25833,2532540000
10.33,29.77,Latin America Equity,3,3,305.38,4.88,3.9,9.81,3.35,0.14,111,0.6,16940000
18.2,29.41,Indonesia Equity,5,3,284.42,5.62,4.14,5.78,8.24,-0.01,22,0.6,50010000
17.31,20.24,Taiwan Large-Cap Equity,4,3,329.67,10.44,5.02,-0.87,3.48,-0.15,88,0.6,15680000
6.41,28.22,Korea Equity,4,3,343.57,5.45,2.16,-14.97,3.98,-0.01,106,0.6,24150000
3.24,26.52,Sector Equity Financial Services,1,5,240.65,-1.403,1.62,-4.91,-10.64,0,270,0.3,198640000
26.87,22.54,US Large-Cap Blend Equity,4,2,301.04,13.13,1.95,11.26,6.92,0,514,0.19,145090000
25.38,22.79,US Large-Cap Blend Equity,4,3,295.42,13.51,1.87,10.74,6.92,0,628,0.15,845270000
16.33,22.15,Global Large-Cap Blend Equity,3,2,303.14,8.88,2.97,-1.64,2.4,0,251,0.16,238890000
5.45,25.28,Germany Small/Mid-Cap Equity,3,4,89.99,5.11,0.97,4.84,-0.88,0.01,70,0.7,112440000
9.61,22.75,Germany Equity,4,4,289.5,5.25,4,-13.54,-2.57,0,15,0.25,64150000
22.31,23.28,Switzerland Equity,2,2,307.29,14.72,3.1,7.67,0.1,0,-53,0.4,16760000
9.4,21.76,France Small/Mid-Cap Equity,3,3,149.06,6.15,1.9,-0.32,-4.35,0,60,0.5,16610000
20.47,23.21,Global Large-Cap Blend Equity,4,3,300.24,11.24,2.37,4.64,4.87,0.41,2468,0.4,2231170000
19.51,23.62,Global Large-Cap Blend Equity,4,3,282.18,10.76,2.41,3.74,4.5,0.17,1499,0.4,255250000
15.65,26.24,Asia ex-Japan Equity,4,3,372.09,9.55,2.4,2.65,7.46,0.46,865,0.55,1266500000
15.08,27.06,Global Emerging Markets Equity,4,3,350.13,8.68,2.9,2.87,7.1,0.74,1288,0.42,457540000
9.65,31.02,Global Emerging Markets Small/Mid-Cap Equity,3,3,105.49,3.5,3.68,15.4,-0.48,0.49,1513,0.55,98530000
15.09,27.12,Global Emerging Markets Equity,3,2,349.48,8.53,2.89,4.98,8.28,0,824,0.45,620680000
13.41,23.54,Switzerland Small/Mid-Cap Equity,3,3,174.08,12.48,3.09,10.41,-9,-0.01,79,0.25552,176080000
21.9,23.28,Switzerland Equity,3,3,305.38,14.59,3.12,8.05,-0.22,0.02,193,0.15756,774110000
19.6,33.44,Russia Equity,2,4,255.6,5.77,11.9,17.12,10.37,1.6,22,0.6,99960000
14.68,27.1,Global Emerging Markets Equity,3,3,345.2,8.28,3.05,2.82,7.6,-0.08,1026,0.15,418340000
10.35,18.86,Eurozone Large-Cap Equity,5,2,275.51,9.66,3.1,2.16,2.54,0.05,56,0.28,1678040000
24.07,19.99,US Large-Cap Blend Equity,5,2,268.5,15.46,1.82,10.19,8.67,0.35,142,0.22,1664860000
10.57,21.44,Asia-Pacific Equity,3,2,287.31,10.14,2.81,-4.98,2.67,0.43,109,0.4,789160000
20.89,20.02,Global Large-Cap Blend Equity,5,2,279.66,13.36,2.27,4.45,5.38,0.62,387,0.22,3200110000
12.49,31.47,Sector Equity Precious Metals,4,3,217.83,7.95,1.14,36.69,-1.64,0.14,54,0.55,2575550000
-9.44,38.75,Sector Equity Natural Resources,1,5,178.55,3.15,6.75,34.63,10.53,0.31,47,0.55,115120000
10.11,32.1,Sector Equity Agriculture,3,3,188.14,8.25,2.58,2.17,3.18,0.29,67,0.55,72980000
17.09,26.56,US Large-Cap Value Equity,4,2,168.96,10.04,3.63,4.23,5.07,0.66,117,0.35,2278840000
16.2,27.74,Global Emerging Markets Equity,1,3,207.53,4.98,6.59,2.79,7.11,0.55,55,0.55,112710000
20.15,23.3,Global Large-Cap Blend Equity,4,3,298.02,11.08,2.41,4.89,4.82,0.31,1586,0.6,1322590000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,970,0.25,561090000
8.69,21.52,Germany Equity,3,2,263.34,6.38,2.57,-5.61,0.16,0.25,100,0.15,78200000
6.1,23.85,Austria Equity,4,3,149.08,5.31,2.19,7.08,4.13,0,20,0.25968,38200000
10.51,23.32,Eurozone Small-Cap Equity,3,3,109.38,6.11,2.65,-2.75,-4.78,-0.03,428,0.45,86580000
18.48,29.41,Indonesia Equity,4,3,283.43,5.7,4.11,6.05,8.14,0,161,0.82747,111610000
13.29,27.1,Thailand Equity,3,4,241.17,9.2,4.08,-2.88,1.86,0,43,0.51363,35870000
20.22,21.56,UK Large-Cap Equity,4,1,216.19,8.25,4.87,0.85,-0.19,0,67,0.45,890000
11.25,25.34,US Mid-Cap Equity,3,3,90.88,10.32,1.9,7.17,6.58,0.11,400,0.3,754960000
16.39,28.74,Global Emerging Markets Equity,2,2,176.69,4.11,11.46,1.98,4.75,0.71,96,0.65,312900000
11.16,21.59,Eurozone Flex-Cap Equity,3,3,242.27,8.96,4.49,4.54,3.63,0.44,41,0.3,1207050000
17.26,21.21,UK Equity Income,3,4,192.55,11.41,4.63,-8.69,7.54,0.51,34,0.3,97930000
12.12,23.86,UK Large-Cap Equity,4,2,241.37,7.44,3.82,-7.48,1.75,0.64,392,0.2,454690000
26.88,22.54,US Large-Cap Blend Equity,4,2,301.03,13.12,1.95,11.26,6.93,0.14,505,0.09,5198130000
7.85,23.56,Europe Large-Cap Value Equity,3,3,267.67,5.65,4.06,-3.36,0.71,0,240,0.35,66180000
25.14,22.78,US Large-Cap Blend Equity,4,3,293.75,13.35,1.91,10.83,7.01,0.17,617,0.14,2737010000
16.92,23.78,US Large-Cap Value Equity,3,2,254.25,9.43,3.3,7.94,5.49,3.23,411,0.2,506810000
20.69,22.75,Global Large-Cap Blend Equity,4,3,290.48,11.52,2.33,4.97,4.4,0.64,1579,0.31,173650000
26.51,22.54,US Large-Cap Blend Equity,4,2,299.21,12.98,2,11.24,6.92,0.33,504,0.12,521870000
14.1,24.07,UK Large-Cap Equity,3,2,247.27,5.83,5.86,0.6,1.83,0.08,100,0.09,3246270000
20.34,23.34,Global Large-Cap Blend Equity,4,3,292.89,8.75,2.59,4.77,4.55,0,3430,0.23,7491080000
16.04,27.38,Global Emerging Markets Equity,4,2,332.87,5.74,3.35,5.81,7.42,0,1829,0.23,2264560000
27.32,22.54,US Large-Cap Blend Equity,4,2,303.04,12.56,1.91,11.35,6.93,0.04,505,0.07,27442400000
8.04,22.69,Singapore Equity,3,3,249.09,9.06,5.49,0.67,0.65,0,78,0.51583,38790000
14.72,25.84,Asia ex-Japan Equity,3,2,365.53,9.35,2.58,3.82,8.21,0,530,0.52,170880000
7.9,20.56,Germany Equity,3,2,296.66,6.5,2.92,-8.8,-0.64,0,30,0.09088,550030000
12.18,24.06,UK Large-Cap Equity,3,1,266.55,7.49,4.08,-6.67,1.81,0.04,99,0.09312,65250000
8.87,22.92,Japan Large-Cap Equity,4,3,288.81,9.86,2.06,1.34,3.59,0,225,0.11012,1.93E+11
24.7,23.95,US Large-Cap Value Equity,5,1,229.8,12.75,2.06,9.45,5.14,0.22,100,0.35,266730000
10.47,20.73,Eurozone Large-Cap Equity,4,3,276.17,8.04,2.53,-1.07,0.7,0,246,0.13605,2104370000
18.63,22.28,Global Large-Cap Value Equity,4,3,279.55,7.38,3.29,-0.29,5.81,0.1,128,0.65,13170000
12.44,38.11,Sector Equity Precious Metals,3,4,182.26,6.47,1.16,31.45,2.22,-0.07,23,0.44,102730000
25.74,21.48,US Large-Cap Blend Equity,3,1,277.4,12.42,2.27,14.15,6.88,0.24,94,0.2,1921760000
14.9,27.02,Global Emerging Markets Equity,3,1,282.4,9.11,3.73,2.23,4.85,0.58,322,0.4,495150000
18.31,20.33,Europe Large-Cap Blend Equity,5,1,256.16,9.9,3.15,0.99,2.14,0.78,173,0.25,1119040000
20.03,22.68,Global Large-Cap Blend Equity,4,1,254.79,9.98,2.61,8.47,3.3,0.32,303,0.3,4043570000
10.47,20.72,Eurozone Large-Cap Equity,4,3,276.18,8.01,2.53,-1.1,0.7,0.05,247,0.18,216380000
17.26,32.7,China Equity - A Shares,2,3,326.78,11.9,2.16,10.39,10.88,0,293,0.65007,564140000
25.38,22.79,US Large-Cap Blend Equity,4,3,295.42,13.51,1.87,10.74,6.92,0,605,0.25,865980000
14.36,30,Global Emerging Markets Equity,2,5,234.9,4.24,4.31,7.7,6.78,0.11,151,0.8,35900000
11.07,20.41,UK Flex-Cap Equity,2,4,191.55,7.96,3,0.26,3.84,0.35,75,0.65,17440000
15.99,23.76,US Large-Cap Blend Equity,2,4,204.3,10.35,2.13,8.48,5.81,0.05,375,0.65,86950000
23.84,20.89,Nordic Equity,3,1,253.8,10.99,1.71,4.66,4.48,0,74,0.30282,384370000
14.61,21.67,Europe Large-Cap Blend Equity,4,3,273.09,9.27,2.81,-1.95,1.07,0,598,0.07,1978680000
10.87,19.95,Eurozone Large-Cap Equity,3,3,312.85,9.18,2.71,-2.63,2.51,0,50,0.07,295090000
10.45,20.49,Eurozone Large-Cap Equity,4,3,272.22,8.42,2.48,-1.42,0.42,0,296,0.07,479280000
11.96,23.88,Asia-Pacific Equity,3,3,233.79,7.81,4.71,-2.44,5.24,0.8,94,0.55,213880000
10.21,24.66,Global Equity Income,2,5,166.91,6.11,6.53,-8.02,2.19,0.29,77,0.45,542120000
9.8,24.73,Asia-Pacific ex-Japan Equity,2,3,307.01,4.24,4.06,-9.55,2.72,0,395,0.17,735480000
17.53,25.15,Global Equity Income,3,3,281.18,5.23,4.79,1.09,3.63,0.01,1483,0.29,1254230000
14.8,21.88,Europe Large-Cap Blend Equity,4,3,257.36,6.84,4.09,-0.14,0.97,0.01,579,0.12,2077750000
8.64,24.52,Japan Large-Cap Equity,3,2,259.84,6.35,2.66,-4.07,3.45,0,516,0.16,1933050000
15.24,38.18,Sector Equity Energy,1,5,78.74,3.03,17.21,7.33,-6.31,0,-874,1.25,235630000
16.03,21.29,Global Large-Cap Blend Equity,3,3,288.88,10.12,2.68,-0.06,2.61,0,250,0.3,104720000
24.04,23.14,Switzerland Equity,3,2,340.16,15.38,3.12,8.13,1.48,0,20,0.33495,1277860000
-9.62,33.43,Sector Equity Energy,2,4,222.2,5.22,8.48,15.77,4.4,0,21,0.11986,5160000
22.32,23.82,Global Equity Income,3,2,276.29,8.19,4.56,0.45,4.17,0,303,0.28869,41770000
13.22,22.27,Sector Equity Financial Services,4,3,250.32,4.71,3.22,22.85,7.97,0,88,0.1195,460620000
24.75,26.27,Sector Equity Healthcare,4,3,268.29,12.93,1.8,19.58,10.58,0,79,0.11946,1300510000
8.01,23.17,Germany Equity,3,3,284.76,5.97,2.44,-10.96,-1.28,0,30,0.30031,-1314061376
12.38,24.22,UK Large-Cap Equity,3,2,271.16,7.36,4.23,-6.61,1.44,0.67,87,0.2,1596710000
10.35,20.65,Eurozone Large-Cap Equity,3,3,294.86,8.18,2.69,-1.73,0.57,0.23,115,0.49,91340000
9.28,21.07,Eurozone Mid-Cap Equity,3,1,194.66,7.01,2.13,2.13,1.17,0.51,133,0.49,197600000
13.88,25.5,Asia ex-Japan Equity,3,3,366.09,8.91,2.81,1.07,6.39,0,585,0.45,562910000
14.71,21.67,Europe Large-Cap Blend Equity,4,3,255.15,7.03,3.94,-0.73,1.08,0.01,403,0.2,826330000
27.32,22.54,US Large-Cap Blend Equity,5,2,303.04,12.56,1.91,11.35,6.93,0,346,0.15,3471500000
27.32,22.54,US Large-Cap Blend Equity,4,2,303.04,12.56,1.91,11.35,6.93,0,536,0.15,3471500000
27.32,22.54,US Large-Cap Blend Equity,5,3,303.04,12.56,1.91,11.35,6.93,0,445,0.15,3471500000
12.85,23.92,Australia & New Zealand Equity,3,3,301.69,9.78,4.96,-8.15,-0.8,0.37,64,0.4,438750000
20.48,30.95,China Equity - A Shares,3,1,388.91,14.91,2.54,12.16,11.74,0,320,0.4,25770000
12.14,24.34,Germany Small/Mid-Cap Equity,4,3,167.48,8.07,1.51,-3.17,0.15,0,69,0.43066,76880000
23.39,23.12,Switzerland Equity,2,2,325.35,15.2,3.19,8.46,1.78,0.06,39,0.24,1862550000
23.46,23.12,Switzerland Equity,3,3,325.82,15.2,3.18,8.46,1.78,0.04,39,0.21085,393270000
20.15,23.24,Global Large-Cap Blend Equity,4,3,298.08,11.05,2.4,4.74,4.7,0,1728,0.40045,493270000
21.69,22.33,Sector Equity Consumer Goods & Services,5,5,320.48,19.6,0.93,8.47,8.25,0,60,0.11988,67820000
40.44,18.62,Sector Equity Technology,5,3,343.62,17.29,1.15,12.92,8.25,0,107,0.11949,1674760000
29.88,24.82,Sector Equity Consumer Goods & Services,4,2,281.99,14.43,2.92,2.96,4.29,0,35,0.11966,4.56E+08
23.39,23.12,Switzerland Equity,2,2,325.35,15.2,3.19,8.46,1.78,0.06,39,0.25,1862550000
9.29,21.07,Eurozone Mid-Cap Equity,3,1,194.74,7.02,2.14,2.13,1.17,0.52,133,0.49,197600000
5.63,26.43,Global Small/Mid-Cap Equity,3,3,91.62,7.8,2.13,-0.06,2.35,0.25,3204,0.45,524179999
25.38,22.79,US Large-Cap Blend Equity,4,3,295.32,13.5,1.87,10.81,6.99,-0.01,618,0.07097,7425090000
21.04,22.8,Global Large-Cap Blend Equity,4,3,291.99,11.72,2.27,4.92,4.36,0.25,1608,0.19555,6421960000
-1.56,29.32,US Small-Cap Equity,3,3,28.78,7.63,1.67,2.73,3.63,0,2009,0.30422,1108050000
11.6,24.05,US Mid-Cap Equity,3,2,154.69,10.95,1.87,8.3,6.07,0,816,0.35033,98990000
21.04,22.8,Global Large-Cap Blend Equity,4,3,291.99,11.72,2.27,4.92,4.36,0.25,1608,0.18976,6421960000
26.05,23.73,US Large-Cap Value Equity,4,1,269.21,9.49,3.95,5.73,5.47,0,158,0.39116,36570000
11.15,19.89,Eurozone Large-Cap Equity,5,2,317.27,9.12,2.63,-3.44,3.85,0.54,42,0.2,44570000
14.52,23.59,Germany Small/Mid-Cap Equity,3,2,196.65,12.18,1.31,3.32,3.33,-0.02,60,0.3,198460000
15.23,20.12,Eurozone Large-Cap Equity,4,1,233.66,9.03,2.76,2.99,0.6,0.34,100,0.3,102030000
16.17,23.51,US Large-Cap Blend Equity,2,4,190.94,9.4,2.54,7.62,5.56,0,506,0.25105,1301790000
10.75,25.59,France Small/Mid-Cap Equity,1,5,44.11,7.27,0.51,-25.98,-19.97,0,40,0.5,15730000
16.75,19.17,Switzerland Equity,3,4,277.45,10.19,4.29,4.72,1.69,0.35,19,0.15,864810000
21.91,23.28,Switzerland Equity,3,3,305.62,14.56,3.14,8.04,-0.2,0.21,203,0.1,1682550000
13.85,23.59,Germany Small/Mid-Cap Equity,3,3,198.04,11.76,1.27,3.32,3.33,0,60,0.30114,579450000
10.25,24.39,Italy Equity,3,3,85.32,6.73,1.68,-4.04,-10.4,0,80,0.4,174680000
20.39,23.2,Global Large-Cap Blend Equity,4,3,298.58,11.03,2.34,5.5,5.03,0,1597,0.40023,36760000
17.43,21.7,Sector Equity Consumer Goods & Services,4,4,317.68,14.84,1.14,0.51,5,0,180,0.30102,199340000
23.69,24.32,Sector Equity Consumer Goods & Services,3,1,293.92,12.69,2.88,-1.3,3.32,0,121,0.30224,286800000
-6.61,32.2,Sector Equity Energy,3,3,253.28,5.12,8.59,5.27,4.23,0,54,0.30403,145120000
11.28,22.37,Sector Equity Financial Services,3,2,265.19,3.29,3.71,9.56,2.11,0,239,0.30344,139690000
24,26.09,Sector Equity Healthcare,4,2,282.45,13.4,1.99,13.17,8.62,0,154,0.31152,1029180000
19.87,24.84,Sector Equity Industrial Materials,3,2,242.05,11.26,1.98,6,6.04,0,258,0.30009,383650000
36.97,18.37,Sector Equity Technology,4,3,336.47,16.67,1.17,10.48,6.15,0,177,0.30007,1670820000
10.88,26.33,Sector Equity Industrial Materials,4,3,245.54,9.08,3.04,-3.05,3.55,0,125,0.30007,201720000
14.76,22.06,Sector Equity Communications,4,3,336.41,7.55,1.59,4.95,5.26,0,104,0.30194,328170000
10.54,29.58,Sector Equity Utilities,4,2,231.55,7.76,3.85,-0.1,-3.91,0,84,0.30081,73500000
15.96,33.07,China Equity - A Shares,1,3,297.45,10.17,1.9,9.19,11.14,0.21,575,0.87845,29980000
8.81,30.76,Brazil Equity,2,4,323.26,4.41,3.81,11.1,5.36,0,-21,0.65,5530000
15.09,27.12,Global Emerging Markets Equity,3,2,349.48,8.53,2.89,4.98,8.28,0,801,0.55,20300000
18.85,29.24,Turkey Equity,1,3,130.72,3.82,1.48,-5.69,22.59,0,-81,0.45,2590000
