roe,sustainability_score,category,rating,risk_rating,equity_size_score,price_cash_flow_ratio,dividend_yield_factor,historical_earnings_growth,sales_growth,asset_cash,holdings_n_stock,ongoing_cost,fund_size
14.13,21.67,Europe Large-Cap Blend Equity,4,3,272.4,9.12,2.85,-1.92,1.07,0.56,598,0.2,5843860000
9.72,21.85,Europe Mid-Cap Equity,3,3,148.15,8.5,2.46,-0.86,2.55,1.14,198,0.2,422620000
13.13,21.58,Europe Flex-Cap Equity,4,3,190.69,8.01,2.55,2.17,1.32,0.33,201,0.2,314650000
14.7,21.67,Europe Large-Cap Blend Equity,4,2,298.5,9.43,2.94,-2.62,0.86,0.66,199,0.2,72130000
9.08,22.75,Germany Equity,4,4,290.04,5.14,4.07,-13.54,-2.57,0.08,15,0.31,467520000
6.74,21.43,Europe Equity Income,3,4,224.55,4.37,6.47,2.38,-4.14,0.83,30,0.31,344460000
10.11,20.49,Eurozone Large-Cap Equity,4,3,272.61,8.33,2.53,-1.4,0.4,0.33,296,0.2,1731620000
9.35,19.99,Eurozone Large-Cap Equity,2,5,227.66,5.05,6.15,3.51,0.7,0.45,30,0.31,713310000
8.44,25.06,Japan Large-Cap Equity,3,2,256.13,8.11,2.69,-4.35,3.47,0,2170,0.45,868430000
6.1,23.85,Austria Equity,3,3,149.08,5.31,2.19,7.08,4.13,0.96,20,0.32,113290000
9.35,19.99,Eurozone Large-Cap Equity,2,5,227.66,5.05,6.14,3.51,0.7,0.61,30,0.4,714050000
13.03,29.09,China Equity,2,3,402.59,6.97,3.48,10.87,8.66,0.34,50,0.74,592540000
14.02,25.63,Asia ex-Japan Equity,3,3,364.37,8.74,2.83,1.36,6.91,0.4,625,0.74,2345470000
17.26,20.45,Taiwan Large-Cap Equity,3,3,328.48,10.42,5.04,-0.88,3.49,0.49,88,0.74,450650000
20.82,22.77,Global Large-Cap Blend Equity,4,3,291.16,11.59,2.31,4.86,4.38,0.28,1595,0.5,5114990000
14.97,17.83,Eurozone Large-Cap Equity,5,2,305.62,15.44,1.53,4.69,3.77,0.38,57,0.4,84280000
6.39,28.27,Korea Equity,4,4,340.65,5.23,2.15,-15.02,4.55,1.05,108,0.74,531799999
4.53,25.34,Eurozone Large-Cap Equity,1,5,273.92,4.39,4.57,-5.74,-1.84,0.35,47,0.4,29690000
18.62,19.98,Netherlands Equity,4,3,293.57,9.44,2.53,1.47,0.57,0.61,25,0.3,323120000
10.05,23.42,UK Equity Income,1,5,183.16,4.46,6.61,37.29,0.18,1.7,49,0.4,640140000
8.82,30.76,Brazil Equity,3,4,324.43,4.3,3.82,10.01,5.59,0.39,56,0.74,196510000
14.58,27.11,Global Emerging Markets Equity,3,3,343.5,8.14,3.03,2.8,7.42,0.12,1172,0.6075,3049580000
16.65,32.1,Emerging Europe Equity,4,3,221.66,5.67,9.36,12.42,10.39,0.61,44,0.74,160560000
3.47,24.08,Belgium Equity,3,3,220.5,9.54,2.14,6,4.2,0,20,0.5,50360000
25.38,22.79,US Large-Cap Blend Equity,5,3,295.42,13.51,1.87,10.74,6.92,0,415,0.25,865980000
14.92,21.91,Europe Large-Cap Blend Equity,4,2,264.04,6.82,4.06,0.82,1.37,0.02,301,0.25,1252740000
28.12,20.19,Nordic Equity,3,1,276.59,11.47,1.5,5.17,5.05,0.02,30,0.15,1308290000
11.8,20.47,Eurozone Large-Cap Equity,4,3,280.97,8.42,3.1,1.08,0.24,0.37,75,0.41,134130000
7.91,26.1,Asia-Pacific Equity,1,5,234.99,5.29,7.41,-14.21,3.92,0.69,45,0.31,217040000
21.02,22.78,Global Large-Cap Blend Equity,5,3,291.88,11.7,2.27,4.5,4.15,0,946,0.3,3860600000
24.69,22.85,US Large-Cap Blend Equity,4,3,293.99,13.28,1.97,10.83,6.98,0.21,704,0.4,1117150000
14.86,21.29,Europe ex-UK Equity,3,2,283.82,9.26,2.57,0.96,1.06,0.26,350,0.4,1214430000
7.91,26.1,Asia-Pacific Equity,1,5,234.99,5.29,7.41,-14.21,3.92,0.9,45,0.59,367080000
8.16,20.56,Germany Equity,3,3,296.38,6.63,2.86,-8.8,-0.64,0,30,0.15,801170000
12.12,26.68,Sector Equity Infrastructure,4,2,232.99,9.61,3.61,3.6,1.34,0.61,241,0.65,791640000
9.38,22.56,Italy Equity,3,4,238.14,5.97,2.91,-1.58,0.22,0,40,0.39674,35370000
10.54,19.95,Eurozone Large-Cap Equity,3,4,312.44,9.11,2.75,-2.63,2.51,0,50,0.10159,5941260000
7.9,20.56,Germany Equity,3,3,296.65,6.5,2.92,-8.79,-0.64,0,30,0.09211,3607140000
21.02,22.78,Global Large-Cap Blend Equity,5,3,291.88,11.7,2.27,4.5,4.15,0,911,0.45,3143260000
14.32,21.9,Europe Large-Cap Blend Equity,4,3,280.98,8.76,2.93,-1.27,1.14,0,433,0.26594,3497920000
8.84,23.95,Japan Large-Cap Equity,3,2,286.69,8.39,2.74,-4.02,3.52,0,320,0.32131,2.72E+11
25.38,22.79,US Large-Cap Blend Equity,5,3,295.42,13.51,1.87,10.74,6.92,0,401,0.3,3102600000
24.04,23.14,Switzerland Equity,3,3,340.16,15.38,3.12,8.13,1.48,0,20,0.33495,1277860000
17.64,30.02,Turkey Equity,2,3,129.74,3.7,1.39,-7.33,22.52,0.39,15,0.74,119580000
7.42,15.38,Sector Equity Private Equity,3,5,113.42,5.78,7.23,1.6,-7.3,0.38,55,0.75,547470000
11.78,26.75,Sector Equity Water,4,2,149.13,11.36,2.28,4.2,2.49,0.17,50,0.65,1529780000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,900,0.55,1078680000
12.51,20.17,Eurozone Large-Cap Equity,3,2,265.2,4.88,4.45,-1.02,-0.75,0,47,0.32554,202400000
12.18,24.06,UK Large-Cap Equity,3,1,266.56,7.49,4.08,-6.67,1.81,0.04,99,0.09316,61760000
11.8,23.82,UK Large-Cap Equity,3,2,242.51,7.45,3.89,-6.72,2.17,0.11,255,0.20383,42590000
10.52,22.79,UK Mid-Cap Equity,3,2,129.18,7.01,2.74,-9.49,2.56,0.73,178,0.16091,50860000
17.76,20.34,Taiwan Large-Cap Equity,4,3,330.79,10.32,5.08,-0.87,3.39,0,86,0.65,179920000
15.09,27.12,Global Emerging Markets Equity,3,3,349.48,8.53,2.89,4.98,8.28,0,912,0.49876,1110520000
10.34,29.77,Latin America Equity,3,3,303.72,5.02,3.89,10.34,4.77,0,84,0.70728,54390000
15.62,26.29,Asia ex-Japan Equity,3,3,371.25,9.48,2.39,4.87,8.5,0,628,0.65,646820000
8.82,30.76,Brazil Equity,3,4,324.45,4.3,3.82,10.01,5.59,0,56,0.65,220230000
13.04,29.07,China Equity,2,3,402.28,6.99,3.47,10.89,8.67,0,50,0.612,122250000
5.14,27.04,Sector Equity Alternative Energy,3,4,168.73,5.35,1.35,9.9,1.41,0.33,31,0.65,2983810000
14.78,27.5,BRIC Equity,4,2,424.6,9.71,3.53,13.6,11.76,0.41,51,0.74,246150000
14.31,21.91,Europe Large-Cap Blend Equity,4,3,280.99,8.75,2.93,-1.25,1.14,0.42,435,0.12,5985960000
9.38,22.56,Italy Equity,3,4,238.13,5.97,2.91,-1.62,0.21,0.11,40,0.35,102790000
13.04,23.71,Sector Equity Utilities,3,4,264.53,6.74,4.39,-13.34,-10.07,0,-210,0.3,19490000
10.28,17.83,Sector Equity Communications,2,3,251.22,2.73,4.13,-1.85,-1.49,0,-112,0.3,4870000
19.32,15.86,Sector Equity Technology,2,3,284.01,15.85,1.27,5.45,8.99,0,-59,0.3,42490000
-3.75,28.79,Sector Equity Energy,4,2,277.52,4.86,8.27,5.78,5.16,0,62,0.3,34350000
16.01,21.91,Sector Equity Industrial Materials,3,4,241.6,11.64,1.56,7.08,4.61,0,-80,0.3,23930000
24.89,24.57,Sector Equity Healthcare,3,2,313.11,13.36,2.63,0.47,3.95,0,-110,0.3,95530000
16.46,23.25,Sector Equity Consumer Goods & Services,3,2,304.05,15.04,2.37,2.36,3.06,0,63,0.3,58990000
11.87,28.23,Sector Equity Industrial Materials,2,5,249.58,6.47,4.88,5.86,4.84,0,36,0.3,317890000
3.46,25.68,Sector Equity Financial Services,2,4,250.21,-0.637,1.35,-5.12,-8.47,0,202,0.3,31250000
6.41,28.25,Korea Equity,4,4,344.05,5.22,2.17,-15.05,4.59,0,107,0.66509,105260000
26.75,22.54,US Large-Cap Blend Equity,5,2,300.35,13.08,1.97,11.25,6.92,0.23,505,0.07,11134300000
20.01,21.49,Switzerland Equity,3,5,288.15,14.6,3.33,6.81,1.39,0.27,30,0.35,379560000
19.94,21.5,Switzerland Equity,3,5,287.8,14.63,3.31,6.81,1.39,-0.02,30,0.21,572670000
8.03,23.67,Europe Large-Cap Value Equity,3,3,261.86,5.52,3.73,-5.63,-0.37,0.06,487,0.39,6600000
4.92,25.99,UK Large-Cap Equity,1,3,259.26,4.77,5.11,-6.61,1.63,0.08,101,0.39,8090000
12.57,29.15,Global Emerging Markets Equity,2,4,326.35,5.19,5.24,3.7,6.27,0.6,306,0.49,33060000
13.16,24.61,Global Large-Cap Value Equity,3,3,260.35,6.64,3.52,-1.47,1.94,-4.47,1119,0.39,25800000
18.12,23.88,US Large-Cap Value Equity,4,3,246.14,8.26,2.99,4.13,4.77,0,993,0.39,190240000
14.47,23.77,Islamic Global Equity,2,3,283.47,10.6,2.9,1.83,3.38,0.24,366,0.6,168540000
10.33,29.77,Latin America Equity,3,3,305.32,4.88,3.9,9.85,4.35,0.39,108,0.74,202010000
9.6,19.41,Sector Equity Natural Resources,5,3,145.41,1.69,2.64,20.24,-0.09,0.28,25,0.65,89640000
17.26,14.29,Vietnam Equity,2,4,225.57,10.78,1.03,9.87,12.68,0,33,1.46105,2.63E+08
20.37,33.44,Russia Equity,2,4,253.7,5.82,11.85,18.24,11.22,0,-31,0.96837,103780000
7.35,23.09,Sector Equity Infrastructure,3,4,228.28,8.13,4.13,0.51,-1.72,0,-81,0.6,187830000
4.15,22.4,Europe Flex-Cap Equity,4,3,147.67,3.01,1.3,26.89,1.3,0,40,0.65574,18020000
-11.51,23.28,Europe Large-Cap Value Equity,3,4,78.93,1.41,2.25,31,0.92,0,20,0.66552,18320000
20.89,21.57,Europe Large-Cap Growth Equity,5,5,216.52,26.48,0.36,16.29,14.77,0,20,0.65887,218730000
10.54,19.95,Eurozone Large-Cap Equity,3,3,312.44,9.11,2.75,-2.63,2.51,0,50,0.15192,800060000
7.9,20.56,Germany Equity,4,2,296.65,6.5,2.92,-8.81,-0.65,0,30,0.14963,1043880000
20.01,21.49,Switzerland Equity,2,5,288.14,14.6,3.33,6.81,1.39,0,30,0.3145,73770000
7.05,29.24,Japan Small/Mid-Cap Equity,3,2,121.86,9.1,2.6,-2.31,2.94,1.08,982,0.58,244470000
8.16,29.36,Asia ex-Japan Small/Mid-Cap Equity,3,3,117.41,6.21,3.67,-1.25,0.81,0.45,1157,0.74,55220000
5.67,28.2,US Small-Cap Equity,3,3,16.1,7.15,2.03,0.28,4.57,0.23,601,0.4,1013710000
9.35,19.99,Eurozone Large-Cap Equity,2,5,227.65,5.05,6.15,3.51,0.7,0,30,0.30527,161520000
7.9,20.56,Germany Equity,4,2,296.63,6.51,2.92,-8.85,-0.66,0,30,0.1501,822120000
